€ b🚧b~·	€ b🚧b~·
·a ~—$ ⹏a1 .bb	·a ~—$ ⹏a1 .bb
~~(b　.€$　~⹏！~a	~~(b　.€$　~⹏！~a
⹏#(—aa~~~！~~　！	⹏#(—aa~~~！~~　！
~   ~)~(~！	~   <del>)</del>(~！
！(~€~~ ) a$	！(~€~~ ) a$
#€~(~	#€~(~
~　a  ##a  €⹏	~　a  ##a  €⹏
⹏ ~ ~	⹏ ~ ~
ba~！#　~ ⹏1~	ba~！#　~ ⹏1~
b~$)~~. ！ ~#	b~$)~~. ！ ~#
)！b~ #a	)！b~ #a
(~ ~~~#·	(~ ~~~#·
$  　$#bb—~~#a　)	$  　$#bb—~~#a　)
~~ ·ab~	~~ ·ab~
(！~~  ~#~—！~  ~b	(！~~  <del>#</del>—！~  ~b
~b—€#~b~	~b—€#<del>b</del>
⹏~) #~⹏⹏.a🚧！—	⹏~) #~⹏⹏.a🚧！—
( ~	( ~
~—~  1	<del>—</del>  1
b~⹏	b~⹏
— ~$  ~ a(.~　~！	— <del>$  </del> a(.~　~！
a🚧$~	a🚧$~
a~b ⹏1aa~⹏	a<del>b ⹏1aa</del>⹏
⹏🚧！(ab~~1~·b —	⹏🚧！(ab~~1~·b —
~！.⹏1　(	~！.⹏1　(
~~！！bb#$a. ~	~~！！bb#$a. ~
)⹏~~~	)⹏~~~
1b (~((⹏  ~~ —	1b (~((⹏  ~~ —
~#.·   #🚧~1aa b	<del>#.·   #🚧</del>1aa b
~　~(	~　~(
—~~	—~~
~~(	~~(
~~€$~.$	~~€$~.$
(·—) 1$1(~ .a~	(·—) 1$1(~ .a~
—~	—~
a (~(~b€((~1(	a (~(~b€((~1(
a~~((·€)🚧b~b　~b	a~~((·€)🚧b~b　~b
1⹏.！()~ b #~~b~	1⹏.！()~ b #~~b~
~(　)~1~.	~(　)<del>1</del>.
a🚧~a))⹏ba	a🚧~a))⹏ba
！  ~~ ⹏a	！  ~~ ⹏a
·~~ 🚧·	·~~ 🚧·
b—·a·~　.€~	b—·a·~　.€~
~~ ·~(·　$€(🚧#	~~ ·~(·　$€(🚧#
. .1# ~！·	. .1# ~！·
—~#🚧1#	—~#🚧1#
· ~aaa🚧 🚧~.a(a(·	· <del>aaa🚧 🚧</del>.a(a(·
~⹏~ 　　⹏(~	<del>⹏</del> 　　⹏(~
~ .~€(⹏~$)~！—.	~ .<del>€(⹏</del>$)~！—.
a ~a.1　⹏a a~~~~	a ~a.1　⹏a a~~~~
~b$·~€ 　( ~.！	~b$·~€ 　( ~.！
)b·— ！—　~$b#~	)b·— ！—　<del>$b#</del>
.~~·  ！~.~ —.	.~~·  ！<del>.</del> —.
~# ！)b1b€　！🚧))$b	~# ！)b1b€　！🚧))$b
.🚧 ！ #)a~  (b.€~	.🚧 ！ #)a<del>  (b.€</del>
#( · ~🚧 #	#( · ~🚧 #
~~ 1⹏	~~ 1⹏
)$1~	)$1~
· ~bb a~~ ~~⹏	· ~bb a~~ ~~⹏
)b　b~	)b　b~
11⹏$~ ·	11⹏$~ ·
~ ·a€)~！	~ ·a€)~！
~b a  )~	<del>b a  )</del>
·.b　 ~) ~	·.b　 ~) ~
b ——€~.⹏~€ba	b ——€~.⹏~€ba
~~a~a~—~	~~a<del>a</del>—~
~~.　~~·⹏	~~.　~~·⹏
！！a　~a . ~a~~ ~	！！a　~a . ~a~~ ~
~1a .~€	~1a .~€
~$( b	~$( b
~~🚧	~~🚧
~　 )1	~　 )1
🚧( 🚧1~b⹏b·~b	🚧( 🚧1~b⹏b·~b
b·a€~	b·a€~
~ €€	~ €€
~~ ·~~. ~a(⹏　~	~~ ·~~. ~a(⹏　~
b~—a~~	b~—a~~
$🚧~€    ~~ 1	$🚧~€    ~~ 1
#~	#~
aa. 🚧~#)1 $b	aa. 🚧~#)1 $b
⹏a~！ba$1🚧·~	⹏a~！ba$1🚧·~
(.$#.a1b .~(🚧~	(.$#.a1b .<del>(🚧</del>
.　~1~ ~. ~~€a　 🚧	.　<del>1</del> ~. ~~€a　 🚧
~b~	<del>b</del>
！~~ abb~.a~	！~~ abb~.a~
b~~	b~~
~⹏.$	~⹏.$
b —b  ~ ！⹏~~	b —b  ~ ！⹏~~
a⹏　~🚧·a ！·)	a⹏　~🚧·a ！·)
#1⹏！b~a	#1⹏！b~a
🚧 ~)b🚧~bb~€a$！~	🚧 <del>)b🚧</del>bb<del>€a$！</del>
11~~　$ $b~b~b　~~	11~~　$ $b<del>b</del>b　~~
) (#  $⹏b~.！	) (#  $⹏b~.！
·~	·~
.~b ~. ~ 1(~~~🚧1	.~b ~. ~ 1(~~~🚧1
—a.1~(🚧！ #　~1~	—a.1~(🚧！ #　<del>1</del>
~€a#~~	~€a#~~
) )~) #·~~⹏b	) )~) #·~~⹏b
~~a(.a·⹏aa~⹏	~~a(.a·⹏aa~⹏
🚧(⹏·b~ ·$	🚧(⹏·b~ ·$
a 1~	a 1~
€~⹏🚧 ~—1a	€~⹏🚧 ~—1a
~　—a	~　—a
⹏　a~a~	⹏　a<del>a</del>
~ €—⹏	~ €—⹏
· $~🚧 🚧b ~a~	· $~🚧 🚧b <del>a</del>
#b~$ a！　 a€—	#b~$ a！　 a€—
.~#~	.<del>#</del>
~　€！)　$  $	~　€！)　$  $
~#~~$！1~	<del>#~~$！1</del>
~🚧	~🚧
⹏　a~ ·1b$a	⹏　a~ ·1b$a
a1🚧~🚧 ( bb1—$！	a1🚧~🚧 ( bb1—$！
€ . . ⹏🚧~#⹏	€ . . ⹏🚧~#⹏
！~$	！~$
b~a.！$€~ ~ ((	b<del>a.！$€</del> ~ ((
#b~~	#b~~
·—~(~)⹏   b	·—<del>(</del>)⹏   b
€.b~　#€	€.b~　#€
#. .· b)~a—€a1	#. .· b)~a—€a1
a~(1 #	a~(1 #
！    $(~b	！    $(~b
~€⹏$#)—⹏$~ —~	<del>€⹏$#)—⹏$</del> —~
~　1)b. ！( )$.1	~　1)b. ！( )$.1
bb(⹏~~·1	bb(⹏~~·1
~   #	~   #
b1  ⹏ ·#—a ~	b1  ⹏ ·#—a ~
~！$ 　~🚧 ~	~！$ 　~🚧 ~
~ (	~ (
#~b~~！. ( 1 🚧~⹏	#~b~~！. ( 1 🚧~⹏
~~	~~
$.€€ $ ·1€~·b#—b	$.€€ $ ·1€~·b#—b
·~~a)⹏(1— 🚧)€1b·	·~~a)⹏(1— 🚧)€1b·
1 a　~ 1~~	1 a　~ 1~~
！)！ bb🚧~b	！)！ bb🚧~b
~ ~~) a~a#)⹏(	~ ~~) a~a#)⹏(
~·bb~— ~~　. b ~	<del>·bb</del>— ~~　. b ~
⹏.~€ ~🚧	⹏.<del>€ </del>🚧
€b  ~ b~	€b  ~ b~
~# b~ —·a$1~🚧~#	<del># b</del> —·a$1<del>🚧</del>#
~⹏　 ~b)　1~~	~⹏　 ~b)　1~~
·　~　ba！a(a~ .	·　~　ba！a(a~ .
b⹏b~b$1$  🚧1~	b⹏b<del>b$1$  🚧1</del>
€(#b！$ #·~).	€(#b！$ #·~).
🚧(a！⹏b.！~ab($()	🚧(a！⹏b.！~ab($()
~！—	~！—
~　~ b~⹏)	~　~ b~⹏)
~ba  ~	<del>ba  </del>
€ a·🚧a  ·~·~·)	€ a·🚧a  ·<del>·</del>·)
). ·~~	). ·~~
！~a~~b~	！<del>a~~b</del>
.—  #~~ a~	.—  #~~ a~
#1　—~~aa) 　)	#1　—~~aa) 　)
~~b—  b~$1a	~~b—  b~$1a
a~$·a~   ~	a~$·a~   ~
~#	~#
.~———1	.~———1
b11—~#~　~— €	b11—<del>#</del>　~— €
$.€🚧 b⹏　—~1	$.€🚧 b⹏　—~1
a~$b~)	a~$b~)
~~a ~~	~~a ~~
~🚧. —$	~🚧. —$
(aa..— ！！🚧~~€b　b	(aa..— ！！🚧~~€b　b
~a~#~ ~a$$	<del>a</del>#<del> </del>a$$
~$~ $) $) —a~1	<del>$</del> $) $) —a~1
bb ~~1🚧~~	bb <del>1🚧</del>
. ~~！b($	. ~~！b($
~)b$	~)b$
€~#~~	€~#~~
.b！a—⹏~— )(. 1	.b！a—⹏~— )(. 1
~.(~  ！€　—	<del>.(</del>  ！€　—
~~ .·.€	~~ .·.€
🚧　1🚧# €b~a🚧b	🚧　1🚧# €b~a🚧b
$ 1⹏~⹏	$ 1⹏~⹏
~⹏~ b#·	<del>⹏</del> b#·
~~)~#a⹏ ~ 　　🚧~	~~)<del>#a⹏ ~ 　　🚧</del>
1~b·b　bb €	1~b·b　bb €
~！ ~(~🚧) .a~$	~！ ~(<del>🚧) .a</del>$
#~ b·1！~⹏	#~ b·1！~⹏
b~· #~~a🚧	b~· #~~a🚧
a⹏()~b	a⹏()~b
🚧1 ~~·	🚧1 ~~·
)~·b	)~·b
a　—！—  —a·)~)	a　—！—  —a·)~)
$.　~)a.b)~$€	$.　<del>)a.b)</del>$€
🚧~a~ €	🚧<del>a</del> €
ba·~ #1~))	ba·<del> #1</del>))
🚧1 ~🚧~$ab.~ €b.	🚧1 <del>🚧</del>$ab.~ €b.
~)— a  　.~b！$	~)— a  　.~b！$
~b·b(··	~b·b(··
€ 　🚧ab ~b # ~€~~	€ 　🚧ab ~b # ~€~~
~a(	~a(
#~~1a~	#~~1a~
~b ~~ ~$1· €)~$	~b ~~ <del>$1· €)</del>$
⹏~.(⹏(	⹏~.(⹏(
€~	€~
~ ~~！ #	~ ~~！ #
~⹏~ 　！#⹏.🚧~~b~	<del>⹏</del> 　！#⹏.🚧~~b~
~~. $~#)(🚧~a)~	~~. $<del>#)(🚧</del>a)~
~~a~)1a~~) .！)a€	~~a~)1a~~) .！)a€
—a　      —a~)€	—a　      —a~)€
b·(　~## ！	b·(　~## ！
b~—🚧！·$b！€—(　(€a	b~—🚧！·$b！€—(　(€a
)a.~	)a.~
#~🚧~ €.🚧	#<del>🚧</del> €.🚧
~—a	~—a
·⹏ ~— ~(a	·⹏ ~— ~(a
€·~　 ~a！ #~(⹏—　~	€·~　 <del>a！ #</del>(⹏—　~
a ~⹏~a~ ~  ~.！(	a <del>⹏</del>a<del> </del>  ~.！(
~~⹏~ —！　€~~	~~⹏~ —！　€~~
·( 　 ~(# ~	·( 　 ~(# ~
🚧 ·€🚧)(~b　~🚧~🚧~	🚧 ·€🚧)(<del>b　<del>🚧</del>🚧</del>
~a ~b€#)　 #	~a ~b€#)　 #
~$ $·	~$ $·
~#·aab~~bb$~.	<del>#·aab~~bb$</del>.
~ab~—)⹏~~ —. .~~	<del>ab</del>—)⹏~~ —. .~~
)aa a~⹏　a·	)aa a~⹏　a·
🚧~.  —a  b  ~$	🚧~.  —a  b  ~$
~~€a~	~~€a~
a·~ ~ ~	a·~ <del> </del>
~. .	~. .
)$⹏~a) ~	)$⹏~a) ~
#.1(~$#🚧.(~((！b—	#.1(<del>$#🚧.(</del>((！b—
$1 ~a€　a~⹏ —~~$	$1 <del>a€　a</del>⹏ —~~$
a⹏~)—·ba)	a⹏~)—·ba)
🚧⹏ $~#1.a~ ~~b	🚧⹏ $<del>#1.a</del> ~~b
！~) . )a— ⹏— ~#	！~) . )a— ⹏— ~#
🚧~—	🚧~—
b · 1#~~~$	b · 1#~~~$
·a)🚧)b .~	·a)🚧)b .~
€bb·~b~~€	€bb·~b~~€
·$　🚧~€	·$　🚧~€
~　.)a €⹏🚧b	~　.)a €⹏🚧b
a1€~b	a1€~b
~~— 　)！ 　 ~	~~— 　)！ 　 ~
€⹏~~~ ~ a —1	€⹏~~~ ~ a —1
—a⹏—~　·~	—a⹏—~　·~
(—！·.~ ba ~·.	(—！·.~ ba ~·.
·　⹏~ — b~~.	·　⹏~ — b~~.
⹏🚧 b~~~—~bb$	⹏🚧 b~~~—~bb$
~€b~~ )	~€b~~ )
⹏).b·🚧~—🚧~	⹏).b·🚧~—🚧~
·！🚧~~ a	·！🚧~~ a
~  🚧~·aa€	<del>  🚧</del>·aa€
~ )b ⹏~	<del> )b ⹏</del>
⹏€~  ~a€€~$b~	⹏€~  <del>a€€</del>$b~
🚧~()~	🚧~()~
#　.　··~ ($~~	#　.　··~ ($~~
$~—(~(·#b~a	$<del>—(</del>(·#b~a
$a$a€1~ b	$a$a€1~ b
~#1 ~ ~	~#1 ~ ~
($b　~a	($b　~a
！b  (🚧~$a—·~(b	！b  (🚧~$a—·~(b
！#$🚧$~~bb.# )	！#$🚧$~~bb.# )
·~1 b~	·<del>1 b</del>
⹏ b⹏#·　~	⹏ b⹏#·　~
a~b！ ~.·	a~b！ ~.·
$.a(~	$.a(~
—🚧1a—€  ~~⹏🚧！ 1	—🚧1a—€  ~~⹏🚧！ 1
—~~$·€ b a~~.~a	—<del>$·€ b a</del>.~a
b ~~⹏$	b ~~⹏$
(~a·~	(<del>a·</del>
a(.ab🚧·b€~~ ~	a(.ab🚧·b€~~ ~
a$ a€~b )	a$ a€~b )
~~(·$.	~~(·$.
~)~$b	<del>)</del>$b
~$(~	<del>$(</del>
(·~. )	(·~. )
—·~a~⹏a1~   🚧⹏$	—·<del>a</del>⹏a1~   🚧⹏$
a~！—~~$b$　b)~	a~！—~~$b$　b)~
~~€~	~~€~
~ ！	~ ！
~~·.~~	<del>·.</del>
~a~！€ 　b~	<del>a</del>！€ 　b~
🚧⹏ ！·b~~ ！　·~(　~	🚧⹏ ！·b~~ ！　·~(　~
· ——(€€·~·(a	· ——(€€·~·(a
$a(€ a(—a！b~~	$a(€ a(—a！b~~
#b ~~.🚧·# ab 　~b	#b ~~.🚧·# ab 　~b
~bba#b·　a~	<del>bba#b·　a</del>
1  €  ~　b	1  €  ~　b
.！$~~	.！$~~
a　b~~	a　b~~
1！ ~ ~) 🚧	1！ ~ ~) 🚧
⹏~1！)~a€ # a⹏ .~	⹏~1！)<del>a€ # a⹏ .</del>
~$ 🚧#a€a	~$ 🚧#a€a
！ ) ~$b~	！ ) <del>$b</del>
$~　€)！！~~—	$~　€)！！~~—
⹏~1	⹏~1
b)€~(~~	b)€~(~~
#ba)~	#ba)~
a$！aa~—！~~b~ ⹏　🚧	a$！aa~—！~~b~ ⹏　🚧
~~b # #⹏🚧(	~~b # #⹏🚧(
b)#~	b)#~
1a$~	1a$~
—a·~~~	—a·~~~
#~~ ~~$🚧~(	#<del> </del>$🚧~(
.🚧~！a$~a·)~🚧a a	.🚧~！a$~a·)~🚧a a
).　 (⹏！ —)　.~~a~	).　 (⹏！ —)　.~~a~
·！~$   —~a)	·！~$   —~a)
🚧b #~a.	🚧b #~a.
~a~b⹏~🚧~bb~~	<del>a</del>b⹏<del>🚧</del>bb~~
$#·~~ab~  ~b	$#·~~ab~  ~b
(~b	(~b
a1🚧~~ 🚧 —	a1🚧~~ 🚧 —
a~1~~b.$	a~1~~b.$
b~~.1 ·~~~~~)a	b~~.1 ·~~~~~)a
~b~🚧    ·	<del>b</del>🚧    ·
🚧(~ b).~ ~€ )⹏	🚧(~ b).<del> </del>€ )⹏
b~	b~
🚧~a🚧b1)~(~	🚧<del>a🚧b1)</del>(~
a .~！~~🚧$	a .~！~~🚧$
~)🚧)~#a	<del>)🚧)</del>#a
)~~#~aa~b	)~~#<del>aa</del>b
#·#a ~ a$~ )1— ~	#·#a ~ a$~ )1— ~
~)！bb~—a~	<del>)！bb</del>—a~
~   ) ~~~·aa~ ~€	~   ) ~~~·aa~ ~€
b(   b~ba a	b(   b~ba a
！#！~b~	！#！<del>b</del>
⹏~~1~~1   #€a~ ~	⹏<del>1</del>1   #€a<del> </del>
~(b (	~(b (
~(€$b	~(€$b
！ ( a$ 1~a！$🚧.	！ ( a$ 1~a！$🚧.
~( ！ ·.b (~11	~( ！ ·.b (~11
~~€a~€€ ~a~~🚧—b	<del>€a~€€ ~a</del>🚧—b
(— 1 (~~ ~⹏	(— 1 (~~ ~⹏
b ⹏ ba·~	b ⹏ ba·~
~ba~ )🚧a(	<del>ba</del> )🚧a(
—！b~—b—~	—！b~—b—~
~b	~b
a ⹏ ~~a€a$·~	a ⹏ ~~a€a$·~
.~  🚧~！⹏ ~	.<del>  🚧</del>！⹏ ~
·1   ~~ ~！ b· b	·1   ~~ ~！ b· b
🚧#~#~	🚧#<del>#</del>
(🚧1 ~~·	(🚧1 ~~·
🚧—~· #　b~·—b~—$	🚧—<del>· #　b</del>·—b~—$
a~~#~ ~$~！(	a~~#~ <del>$</del>！(
~)—1)$a  🚧$1€	~)—1)$a  🚧$1€
~1~	<del>1</del>
) ~~1~$	) ~~1~$
.~ .~~　·~ )~—！	.~ .~~　·<del> )</del>—！
€ a ~ ~.b~)~🚧$~€	€ a ~ <del>.b</del>)~🚧$~€
(baab~.# b·..1~	(baab~.# b·..1~
！ ~~$~	！ ~~$~
(~a🚧🚧⹏a—.	(~a🚧🚧⹏a—.
.a　~ $a⹏(　# ~~	.a　~ $a⹏(　# ~~
€$)#b~a( ⹏€~a	€$)#b<del>a( ⹏€</del>a
€🚧 ~	€🚧 ~
b~)~—a~b🚧⹏a🚧	b~)<del>—a</del>b🚧⹏a🚧
~　 ·aa# ~🚧) )b	~　 ·aa# ~🚧) )b
b  #~~🚧.	b  #~~🚧.
~a—.  ！！~$	<del>a—.  ！！</del>$
( #$a1 　⹏⹏ ~	( #$a1 　⹏⹏ ~
~·€1$a~)·~~1#	<del>·€1$a</del>)·~~1#
a1~~a#b	a1~~a#b
~~🚧b！ ~	~~🚧b！ ~
a# .~a🚧	a# .~a🚧
~b　b.🚧ab a~⹏~· 🚧	<del>b　b.🚧ab a</del>⹏~· 🚧
~. )1~~~—~⹏$$	~. )1~~~—~⹏$$
🚧$$~  a1 ~~~	🚧$$~  a1 ~~~
~   1$ 　)#	~   1$ 　)#
b·ba~~~~🚧🚧a	b·ba~~~~🚧🚧a
1€~1#~ba	1€~1#~ba
🚧( $)#b ~(1~€ #	🚧( $)#b ~(1~€ #
~(bb~⹏baa~~b(ab—	<del>(bb</del>⹏baa~~b(ab—
1~ a$·€a)·~a🚧	1~ a$·€a)·~a🚧
~·🚧！    ~ ·$~⹏($	~·🚧！    ~ ·$~⹏($
~~a€🚧	~~a€🚧
#🚧~# ~b€  b！	#🚧~# ~b€  b！
！ab~.~	！ab~.~
~a ~~a (	~a ~~a (
~(	~(
.$b~ (1#  ~b~ a	.$b~ (1#  <del>b</del> a
🚧~a	🚧~a
$a ~b	$a ~b
$ €！   ~1# ~..€~	$ €！   ~1# <del>..€</del>
🚧！~1⹏1　.— a🚧	🚧！~1⹏1　.— a🚧
~$a　)	~$a　)
~　🚧#$a🚧！	~　🚧#$a🚧！
(~—1！)$a	(~—1！)$a
~ — .⹏	~ — .⹏
~  ~	~  ~
~　€$	~　€$
· ~a—🚧　·#a·#⹏$	· ~a—🚧　·#a·#⹏$
🚧⹏1⹏1~~⹏$~1	🚧⹏1⹏1~~⹏$~1
#b — 🚧a(—~⹏—	#b — 🚧a(—~⹏—
~€ aa	~€ aa
#(#！！ €　~b$ ~	#(#！！ €　~b$ ~
！b⹏　a~~(~—~1	！b⹏　a~~(~—~1
(~)	(~)
🚧)~b —a~🚧ab1a()a	🚧)<del>b —a</del>🚧ab1a()a
~—~— ~—aa ~a ~	<del>—</del>— ~—aa ~a ~
！1 b~b ！$~##~€)	！1 b<del>b ！$</del>##~€)
a€.# ~	a€.# ~
· ⹏·$·！！ba~b)！	· ⹏·$·！！ba~b)！
~a！#a b€⹏~ €	<del>a！#a b€⹏</del> €
.€a~~ab~~！~ ab	.€a<del>ab</del>！~ ab
~🚧  (！	~🚧  (！
€🚧— ~#—·	€🚧— ~#—·
~b⹏—a！~	<del>b⹏—a！</del>
)⹏ —·) ⹏)　~a~)~	)⹏ —·) ⹏)　<del>a</del>)~
！——b)~#⹏！— a )	！——b)~#⹏！— a )
. ~ a⹏~~	. ~ a⹏~~
a~~！　b—~	a~~！　b—~
·.(⹏  (~	·.(⹏  (~
~a	~a
(a  a b~$)a€	(a  a b~$)a€
~ —  ⹏~ 1$.！ 　！~	~ —  ⹏~ 1$.！ 　！~
🚧·~1　a	🚧·~1　a
—~€# ~$b a	—~€# ~$b a
